name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
Fess ka fe bang,M.O.B,0.882,0.743,11,-7.316,1,0.0574,0.063,0.00396,0.0798,0.437,99.05,174669,4,1
You Rock My World,Michael Jackson,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95.0,337733,4,1
When The Moon's Reaching Out Stars,川村ゆみ,0.559,0.687,10,-11.697,0,0.034,0.0602,0.00891,0.0737,0.946,89.957,155827,4,1
Pursuing My True Self,平田志穂子,0.8,0.814,3,-5.442,0,0.0715,0.0265,0.0294,0.313,0.972,119.018,86053,4,1
XLR8,Moh Baretta,0.428,0.83,10,-7.343,0,0.458,0.0215,0.0,0.318,0.679,159.72,132075,4,1
god's chariots,Oklou,0.67,0.475,0,-14.656,0,0.0837,0.93,0.811,0.136,0.0529,94.262,183507,4,1
Skye,Sickboyrari,0.582,0.536,8,-8.725,1,0.0775,0.299,0.275,0.104,0.13,144.063,133000,4,1
E's on Me Like Evisus,Sickboyrari,0.821,0.468,7,-10.754,1,0.156,0.033,0.0255,0.105,0.739,140.036,110970,4,1
FREE YSL,Sickboyrari,0.764,0.481,5,-8.839,1,0.112,0.0964,0.00127,0.269,0.636,140.003,133107,5,1
Moon,Sickboyrari,0.719,0.549,10,-10.793,0,0.202,0.0249,5.37e-05,0.178,0.346,140.063,188291,4,1
Sike,Shawny Binladen,0.788,0.698,8,-9.623,0,0.355,0.00296,0.0,0.172,0.84,96.709,71419,4,1
Lighter,K$upreme,0.673,0.602,5,-5.999,0,0.218,0.239,0.0,0.168,0.35,81.373,117995,4,1
Zelda Vibes,Shawny Binladen,0.854,0.486,5,-8.02,1,0.334,0.297,0.0,0.174,0.747,133.049,80091,4,1
Shawn Ye,Shawny Binladen,0.643,0.622,1,-4.663,1,0.262,0.00352,0.0,0.351,0.322,140.429,125257,4,1
Attic,Shawny Binladen,0.686,0.933,11,-6.135,1,0.428,0.0401,0.0,0.189,0.608,156.989,100493,5,1
My Everything,Shawny Binladen,0.678,0.572,10,-12.914,0,0.322,0.00728,0.000811,0.206,0.396,97.536,110864,5,1
Video Soul,Shawny Binladen,0.817,0.441,0,-7.747,1,0.318,0.0577,0.0,0.103,0.602,73.083,89640,4,1
Leçons particulières,Slaï,0.705,0.7,2,-3.908,0,0.194,0.216,0.0,0.144,0.811,180.07,224053,4,1
Morgan Tracy,Chief Keef,0.654,0.601,10,-7.308,0,0.176,0.0817,0.0,0.429,0.498,139.854,112654,4,1
Buy It,Chief Keef,0.73,0.555,1,-7.815,0,0.187,0.00505,0.0,0.13,0.227,129.795,207479,4,1
Buy It,Chief Keef,0.73,0.555,1,-7.815,0,0.187,0.00505,0.0,0.13,0.227,129.795,207479,4,1
2 Much,Chief Keef,0.71,0.499,1,-8.63,1,0.273,0.552,0.0,0.143,0.583,146.407,103981,4,1
As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,0
Looking Out for You,Joy Again,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4,0
blind,ROLE MODEL,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,153293,4,0
Tequila Shots,Kid Cudi,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4,0
Frequency,Kid Cudi,0.791,0.577,1,-6.555,1,0.0367,0.498,0.47,0.12,0.217,115.07,298240,4,0
APRÈS-VOUS MADAME,GIMS,0.721,0.726,4,-6.518,0,0.278,0.216,8.81e-05,0.116,0.439,133.122,217625,4,0
Hasta Luego,Naps,0.847,0.7,2,-7.183,0,0.0891,0.303,0.0,0.202,0.727,124.993,209467,4,0
